Type,Name,Description,Cost
FERTILIZER,UREA(PRILLED),46-0-0,1.539.19
FERTILIZER,UREA(GRANULAR),46-0-0,"1,583.78"
FERTILIZER,AMMOSUL,21-0-0,752.56
FERTILIZER,COMPLETE,14-14-14,"1,462.89"
FERTILIZER,AMMOPHOS M,16-20-0,"1,361.42"
FERTILIZER,URIATEOF  POTASH,0.0-60 18-46-0,"1,492.00"
FERTILIZER,DIAMMONIUM PHOSPHATE,,
HERBICIDE,Racumin/50g,COUMATETRALYL,P52.60
HERBICIDE,Ratkil,ZINC PHOSPHIDE,
HERBICIDE,Ratol,ZINC PHOSPHIDE,
HERBICIDE,Rat-X/sachet,ZINC PHOSPHIDE,P25.75
HERBICIDE,Storm/sachet,FLOCOUMAFEN,P25.75
HERBICIDE,Zinc Phosphide/sachet,ZINC PHOSPHIDE,P23.5
HERBICIDE,Bayluscide,NICLDSAMIDE  ETHANOLAHINE,
HERBICIDE,Bavunel,METALDEHE,
HERBICIDE,Cmarron,,
HERBICIDE,Hit,NICLOSAMIDE &NICLDSAMIDE ETHANOLAMINE,
HERBICIDE,Hit 700WP,NICLDSAMIDE ETHANOLAMINE SALT,
HERBICIDE,Maskada,NICLDSAMIDE ETHANOLAMINE SALT,
HERBICIDE,Moluxide,"METALDEHVDE,NICLOSAMIDE,& NICLDSAMIDE ETHANOLAMINE",
HERBICIDE,Nicloma,ATCLOSAMIDE ETHANOLAMIN SALT,
HERBICIDE,Parakuhol,NICLOSAMIDE &NICLOSAMIDE ETHANOLAMINE,
HERBICIDE,Primalex,NIGLD AMIDE ETHANOLAMINR,
HERBICIDE,Sakuhol,METAI.DEHYDE,
HERBICIDE,Shatte,NICLOSAMIDE ETHANOLAMINE,
HERBICIDE,Snail Free,,
HERBICIDE,Snailmate 70WP,NOCLOSAMIDE   ETHANOLAMINE,
HERBICIDE,Snailkill,NICLDSAMIDE   ETHANOLAMINE,
HERBICIDE,SurekiH,,
HERBICIDE,Tagluscide,NICLOSAMIDE ETHANULAMINE,
HERBICIDE,Viso-Balt,METALDEHVDE,
HERBICIDE,Antracol,PROPINEB,P617.50
HERBICIDE,Amor,THIOPHANATE METHYL,"P1,850.00"
HERBICIDE,Armure 250ML,DIFENOCDNAZOLE+,P732.50
HERBICIDE,Benomax/Box,RENOMYL,"P1,850.00"
HERBICIDE,Daconi,CHLDROTHALONTL,P943.80
HERBICIDE,Dithame,MANCOZEB,P586.75
HERBICIDE,Dithane M45,MANCDZEB,P624.00
HERBICIDE,Fungitox/ box,THUOPHANATE METHYL,P633.75
HERBICIDE,Fungufree,BENOMYL/MANCOZEB,P424.83
HERBICIDE,Funguran/box,COPPER HYDROXIDE,P750.00
HERBICIDE,Funguran OH,COPPER HY DROXIDE,P787.57
HERBICIDE,Ganazeb,MANCOZEB,P515.00
HERBICIDE,Kocide,COPPER HYDROXIDE,P942.50
HERBICIDE,Manager,MANCUZEB,
HERBICIDE,Mancozeb,MANCOZEB,P492.00
HERBICIDE,Mangat,MANCUZEB,P150.00
HERBICIDE,Nandox,,"P1,346.25"
HERBICIDE,Redeem,,P400
HERBICIDE,Score,DIFENOCONAZOLE,
HERBICIDE,Tango 70WP,ETHYL,"P1,874.75"
HERBICIDE,Topsin,THIOPHANATE METHV1,P336.67
HERBICIDE,Torogi Blue,MANCO2RP,
HERBICIDE,Advance,BUTACHLOR+PROPANIL,
HERBICIDE,2-4D Ester,"2,4-D IBE",P662.80
HERBICIDE,Agrobonds,BUTACHLOR+PROPANL,P339.40
HERBICIDE,Agroxone,MPCA,P620.83
HERBICIDE,Cleanzone,GLYPHOSATE IPA,P401.88
HERBICIDE,Clear-out,GLYPHOSATEIPA,
HERBICIDE,Frontier,CYHALOFOP-BUTYL+,P908.21
HERBICIDE,Ground Phus,GLYPHOSATEIPA,
HERBICIDE,frass Zern,GLYPHOSATEIPA,P550.42
HERBICIDE,Glvphobest,2.4-D AMINE,
HERBICIDE,Hedon,,P373.75
HERBICIDE,Hero,BUTACHLOR+PROPANL,P504.90
HERBICIDE,Machete,,P610.00
HERBICIDE,Mower,BISPYRIBAC SODIUM,P679.92
HERBICIDE,Nominge,,P540.00
HERBICIDE,P-max/500ml,GLYPHOSATEIPA,1426.25
HERBICIDE,Pyanchor Ultra,PYRIBENZOXIM+CYHALOFOP BUTYL,"P1,250.00"
HERBICIDE,Round ue,GLYPHOSATEIPA,"P1,460.00"
HERBICIDE,Run Up,A,P504.17
HERBICIDE,Sharp Shooter,GLYPHOSATE IPA,
HERBICIDE,Shine,GLYPHOSATEIPA,P446.67
HERBICIDE,Slash,GLYPHOSATEIPA,P522.50
HERBICIDE,Square off,GLYP 0SATE IPA,P540.00
HERBICIDE,Sofit,CLYPHOSATEIPA,P995.00
HERBICIDE,Spitfire,GLYPHOSATE IPA,"P1,139.50"
HERBICIDE,Triple B/gal,GLYPHOSATE IPA,"P1,290"
PESTICIDE,Agro Cypermethrin,,
PESTICIDE,Cymbush,,
PESTICIDE,Bushwhack,,
PESTICIDE,Chix,,
PESTICIDE,Bida,,
PESTICIDE,Karate,,
PESTICIDE,Kriss,,
PESTICIDE,Lannate,,
PESTICIDE,Brodan,,
PESTICIDE,Malathion EC,,
PESTICIDE,Prevathon,,
PESTICIDE,"COMPLETE 2,4-D AMINE",,
PESTICIDE,FARMERS ATRAZINE,,
PESTICIDE,BENOLATE 50 WP,,
PESTICIDE,GRASSCUTTER 70 EC,,
PESTICIDE,BIOFURAN 3G,,
PESTICIDE,GRANTAP 50 SP,,
PESTICIDE,TORPEDO 5 EC,,
PESTICIDE,GRADER 48 SL,,
PESTICIDE,TRACTOR 5 SC,,
PESTICIDE,RPG 2.5 EC,,
PESTICIDE,FARMER'S MALATHION,,
PESTICIDE,TRUZEB 80 WP,,
PESTICIDE,GOLDEN K,,
PESTICIDE,SELECTONE 50 EC,,
PESTICIDE,"TOP 2,4-D AMINE",,
PESTICIDE,"ACCESS 2,4-D ESTER",,
PESTICIDE,HI-OCTANE 75 SP,,
PESTICIDE,ACCESS ATRAZINE,,
PESTICIDE,BENLIGHT,,
PESTICIDE,MACHO 60 EC,,
PESTICIDE,CLEANFIELD,,
PESTICIDE,OCHO 85 WP,,
PESTICIDE,EURODAN 3 G,,
PESTICIDE,DIAMOND 50 SP,,
PESTICIDE,DR. NEIL 75 WP,,
PESTICIDE,WORMGUN,,
PESTICIDE,SUPREMO EC,,
PESTICIDE,AZUDIN EC,,
PESTICIDE,BULLET 5 EC,,
PESTICIDE,CHECK 2.5 EC,,
PESTICIDE,DYNAMITE SL HERBICIDE,,
PESTICIDE,MEGATON,,
PESTICIDE,5 STAR GENERAL,,
PESTICIDE,ACCESS MALATHION 57 EC,,
PESTICIDE,ATTAIN M-80,,
PESTICIDE,SNAILGUN,,
PESTICIDE,LYNETTE,,
PESTICIDE,SPEED 70 WP,,
PESTICIDE,LEAPSTICK I,,
PESTICIDE,DMA 3.34 LBS/USG,,
PESTICIDE,WEEDTROL 40 EC,,
PESTICIDE,BENTRAZINE 80 WP,,
PESTICIDE,AGCHEM BENOMYL 50 WP,,
PESTICIDE,CONVOY 50 EC,,
PESTICIDE,BUTACHEM,,
PESTICIDE,REWARD 60 EC,,
PESTICIDE,TORNADO 60 EC,,
PESTICIDE,TWISTER 70 EC,,
PESTICIDE,TAMEX 360 EC,,
PESTICIDE,THUNDER 50SP,,
PESTICIDE,SUPER BLAZER 30 EC,,
PESTICIDE,TERMICON 48 EC,,
PESTICIDE,GAROTE EC,,
PESTICIDE,AMDA,,
PESTICIDE,DELTA 2.5 EC,,
PESTICIDE,GLYKIL 160SL,,
PESTICIDE,KROSS OUT,,
PESTICIDE,SUMO 2.5 EC,,
PESTICIDE,KARET 40,,
PESTICIDE,META BAIT 6% PELLETS,,
PESTICIDE,PORSNAIL 75 WP,,
PESTICIDE,SNAILKIL 6% P,,
PESTICIDE,DOS 55 WP,,
PESTICIDE,TARGET 25 EC,,
PESTICIDE,CALIBER 70 WP,,
PESTICIDE,ULTIMATE 50 EC,,
PESTICIDE,TRIDEM 860 OL,,
PESTICIDE,"STAR 2,4-D AMINE",,
PESTICIDE,"STAR 2,4-D ESTER",,
PESTICIDE,ATRAMAIZE,,
PESTICIDE,AGENOMYL 50 WP,,
PESTICIDE,AVANCE',,
PESTICIDE,FURAGRAN 3G,,
PESTICIDE,STAR CARTAP,,
PESTICIDE,CYPERSTAR,,
PESTICIDE,STAR LAMBDA,,
PESTICIDE,STAR MALATHION,,
PESTICIDE,METAKIL,,
PESTICIDE,STARKIL 70 WP,,
PESTICIDE,FIGHT-S,,
PESTICIDE,BLOCKADE 480 SL,,
PESTICIDE,PROVIN 85 WP,,
PESTICIDE,BARRAGE 50 SP,,
PESTICIDE,SENTINEL 75 WP,,
PESTICIDE,FIST 5 EC,,
PESTICIDE,SUPPRESS 2.5 EC,,
PESTICIDE,ACHIEVE 2.5 EC,,
PESTICIDE,PROZEB 80 WP,,
PESTICIDE,BUTATAF 60 E,,
PESTICIDE,PADAN 4G,,
PESTICIDE,PADAN 50 SP,,
PESTICIDE,DANTOTSU 16 WSG,,
PESTICIDE,SUMI-EIGHT 12.5 WP,,
PESTICIDE,SUMI-ALPHA 2.5 EC,,
PESTICIDE,SUMITHION 40 WDP,,
PESTICIDE,WAZARY 10 FL,,
PESTICIDE,TAKE OFF 10 SC,,
PESTICIDE,PLEO 10 EC,,
PESTICIDE,SAPROL EC,,
PESTICIDE,FRECONIL 720 SC,,
PESTICIDE,IMPREZ 42 SC,,
PESTICIDE,INTEGRA 86 OL,,
PESTICIDE,GERMITROL 400,,
PESTICIDE,TURBO 10 G,,
PESTICIDE,TURBO 3 G,,
PESTICIDE,TURBO 5 G,,
PESTICIDE,VIVO 500 SC,,
PESTICIDE,VIVO 720 SC,,
PESTICIDE,VANZEB 412 F,,
PESTICIDE,VANZEB 600 OS,,
PESTICIDE,VANZEB 75 WDG/DF,,
PESTICIDE,VANZEB 80 WP,,
PESTICIDE,LUCID 250 EC,,
PESTICIDE,LUCID 50 WP,,
PESTICIDE,LUCID 70 WP,,
PESTICIDE,TRIMORPH 86 OL,,
PESTICIDE,TOP KILL,,
PESTICIDE,TOP GUN 2.5 EC,,
PESTICIDE,BARON 720 SC,,
PESTICIDE,DAMONTRESS 60 EC,,
PESTICIDE,AGROPOINT CARTAP,,
PESTICIDE,C-TREX,,
PESTICIDE,SPECTRA 2.5 EC,,
PESTICIDE,METAFORCE,,
PESTICIDE,ROBODAX 70 WP,,
PESTICIDE,CYPRO 5 EC,,
PESTICIDE,KHULOSCIDE 70 WP,,
PESTICIDE,AGWAY ATRAZINE 80 WP,,
PESTICIDE,TALSTAR 10 WP,,
PESTICIDE,VICTORY 85 WP,,
PESTICIDE,FURADAN 10 G,,
PESTICIDE,FURADAN 5 G,,
PESTICIDE,FREE 75 WP,,
PESTICIDE,VESSEL 300 EC,,
PESTICIDE,ADER 5 EC,,
PESTICIDE,DECIS M 2.5 EC,,
PESTICIDE,GRASSOUT 160,,
PESTICIDE,TEKWEED 480 SL,,
PESTICIDE,DELIVER 2.5 EC,,
PESTICIDE,AGWAY MALATHION 57 EC,,
PESTICIDE,AGRICOTE MZ 80 WP,,
PESTICIDE,STRENGTH 40 SP,,
PESTICIDE,SANAZOLE 250 EC,,
PESTICIDE,BANGUARD GRANULFO,,
PESTICIDE,MAS ATRAZINE 80 WP,,
PESTICIDE,MIDAS,,
PESTICIDE,BROADBAND 50 SP,,
PESTICIDE,BINGO 5 EC,,
PESTICIDE,CLEAN-CUT 48 SL,,
PESTICIDE,LLMADO 25 EC,,
PESTICIDE,LLAMADO 70 WP,,
PESTICIDE,SONIC 60 EC,,
PESTICIDE,INGRAM 50 SP,,
PESTICIDE,ROVER,,
PESTICIDE,SIGA 300 EC,,
PESTICIDE,FUNGURAN-OH,,
PESTICIDE,MAGNUM 5 EC,,
PESTICIDE,SHARPSHOOTER,,
PESTICIDE,FUNGAFLOR 50 L,,
PESTICIDE,FUNGAFLOR 75 SP,,
PESTICIDE,BIDA 2.5 EC,,
PESTICIDE,MICRON 80 WP,,
PESTICIDE,PYANCHOR 5 EC,,
PESTICIDE,ORIG 5 EC,,
PESTICIDE,MACHISMO 60 EC,,
PESTICIDE,VIRA 5 EC,,
PESTICIDE,CONQUER,,
PESTICIDE,SPITFIRE,,
PESTICIDE,ALJAY MANCOZEB 80 WP,,
PESTICIDE,VISO-BAIT 6% P,,
PESTICIDE,LASER 70 WP,,
PESTICIDE,VISOKILL 25 EC,,
PESTICIDE,NORDOX 50 WP,,
PESTICIDE,"SHELTER 2,4-D AMINE",,
PESTICIDE,"SHELL 2,4-D ESTER",,
PESTICIDE,CROPGUARD 50 WP,,
PESTICIDE,SPARROW 50 SP,,
PESTICIDE,ATTACK 5R,,
PESTICIDE,TORCH 2.5 EC,,
PESTICIDE,NINJASTAR 6% PELLETS,,
PESTICIDE,SWIPE 70 WP,,
PESTICIDE,CARBINE 50 SP,,
PESTICIDE,KOCIDE 101,,
PESTICIDE,KOCIDE DF 2000,,
PESTICIDE,BULL'S EYE INSECTICIDE,,
PESTICIDE,ONE-UP,,
PESTICIDE,SPRAY MO,,
PESTICIDE,ARMAS 2.5 EC,,
PESTICIDE,SHOTGUN DF,,
PESTICIDE,SHOTGUN-M,,
PESTICIDE,SUPER VISOCOL 70 WP,,
PESTICIDE,VISOCOL 50 WP,,
PESTICIDE,CHAMP DP,,
PESTICIDE,CHAMPION WP,,
PESTICIDE,KLEEN UP 480 AS,,
PESTICIDE,SHOGUN 800,,
PESTICIDE,ALJAY ATRAZINE 80 WP,,
PESTICIDE,AMIHAN 5 EC,,
PESTICIDE,LUTAS 70 WP,,
PESTICIDE,BONITA 700 WP,,
PESTICIDE,KORBUSH 5 EC,,
PESTICIDE,BUHAWI,,
PESTICIDE,VALA 5 EC,,
PESTICIDE,INSTAR 50 SP,,
PESTICIDE,DEFENSA 5 EC,,
PESTICIDE,BIOZEB,,
PESTICIDE,TOPNOTCH,,
PESTICIDE,ORTHENE/ACETAM 75 SP,,
PESTICIDE,NOMINEE 100 SC,,
PESTICIDE,CAPTAN 50 WP,,
PESTICIDE,BANKO 720 SC,,
PESTICIDE,BANKO 75 WP,,
PESTICIDE,SELECT 120 EC,,
PESTICIDE,DIAGRAN 5 G,,
PESTICIDE,DIAZINON 60 EC,,
PESTICIDE,Product Name,,
PESTICIDE,OSHIN 20 SG,,
PESTICIDE,POLIDO 2.5 EC,,
PESTICIDE,TREBON 10 EW,,
PESTICIDE,TREBON 30 EC,,
PESTICIDE,TREFIC 20 WP,,
PESTICIDE,BELLKUTE 40 WP,,
PESTICIDE,SURFACTANT A-100,,
PESTICIDE,PROCONAZOLE 25 EC,,
PESTICIDE,SATURN 60 EC,,
PESTICIDE,SATURN S,,
PESTICIDE,SATURN D,,
PESTICIDE,GRASSEDGE 800 EC,,
PESTICIDE,SATUNIL 600 EC,,
PESTICIDE,STARBUNCH 0.1%,,
PESTICIDE,"SHARP 2,4-D AMINE",,
PESTICIDE,ALTO 50 SP,,
PESTICIDE,WIPER 5EC,,
PESTICIDE,NET 250 EC,,
PESTICIDE,NET 70 WP,,
PESTICIDE,ATABRON 5 E,,
PESTICIDE,ONECIDE 15 EC,,
PESTICIDE,FROWNCIDE 50 SC,,
PESTICIDE,NEMATHORIN 10G,,
PESTICIDE,HUSKY,,
PESTICIDE,MISTAH 5 EC,,
PESTICIDE,WONDER JEM 70 WP,,
PESTICIDE,LUTENSOL A8,,
PESTICIDE,STEDFAST TC,,
PESTICIDE,BASAGRAN 48 EC,,
PESTICIDE,PERFEKTHION 40 EC,,
PESTICIDE,ACROBAT MZ,,
PESTICIDE,KUMULUS DF,,
PESTICIDE,OPAL 7.5 EC,,
PESTICIDE,ASCEND 50 SC,,
PESTICIDE,REGENT 0.3 GR,,
PESTICIDE,SIEGE PRO FIRE ANT BAIT,,
PESTICIDE,HERBADOX 33 E,,
PESTICIDE,CABRIO 25 EC,,
PESTICIDE,COUNTER 10 G,,
PESTICIDE,CALIXIN 86 OL,,
PESTICIDE,HEDONAL LIQ. SL 400,,
PESTICIDE,ACETAM 75 SP,,
PESTICIDE,ACTIVO 22 SC,,
PESTICIDE,BENSUL 10 WP,,
PESTICIDE,BULLDOCK 025 EC,,
PESTICIDE,NOMINEE 100 OF,,
PESTICIDE,NOMINEE 400 SC,,
PESTICIDE,BAYCOR 300 DC,,
PESTICIDE,HOPCIN 50 EC,,
PESTICIDE,BOLO 60 EC,,
PESTICIDE,SEVIN 50 WP,,
PESTICIDE,SEVIN 85 WP,,
PESTICIDE,STIX 480 EC,,
PESTICIDE,FUERZA 10 G,,
PESTICIDE,FUERZA 3 G,,
PESTICIDE,FUERZA 5 G,,
PESTICIDE,RAMPAGE 50 SP,,
PESTICIDE,DACONIL 2787 50 WP,,
PESTICIDE,DACONIL 2787 75 WP,,
PESTICIDE,DACONIL 500 SC,,
PESTICIDE,DEACON 720 SC,,
PESTICIDE,DEACON 75 WP,,
PESTICIDE,RADOR 262.5 EC,,
PESTICIDE,CUPRAVIT OB 21 50 WP,,
PESTICIDE,VITIGRAN BLUE 58 WP,,
PESTICIDE,RACUMIN DUST,,
PESTICIDE,BAYTHROID 0125 EC,,
PESTICIDE,BAYTHROID 050 EC,,
PESTICIDE,SHERPA 5 EC,,
PESTICIDE,DECIS 2.5 EC,,
PESTICIDE,DECIS R,,
PESTICIDE,DIURON 80 WP,,
PESTICIDE,HINOSAN 300 EC,,
PESTICIDE,ETHREL 10 SL,,
PESTICIDE,ETHREL PGR 48 SL,,
PESTICIDE,MOCAP 10 G,,
PESTICIDE,SUNRICE 15 WDG,,
PESTICIDE,RICESTAR EC,,
PESTICIDE,RICESTAR XTRA,,
PESTICIDE,LEBAYCID 50 EC,,
PESTICIDE,LECSPRO 44WP,,
PESTICIDE,AGENDA 2.5 EC,,
PESTICIDE,FENOS SC 480,,
PESTICIDE,DRAGO 60 WP,,
PESTICIDE,ALIETTE 80 WP,,
PESTICIDE,ALIETTE 800 WG,,
PESTICIDE,BASTA 15 SL,,
PESTICIDE,AXLE 160 SL,,
PESTICIDE,GLYNER 480 SL,,
PESTICIDE,ADMIRE 5 WP,,
PESTICIDE,CLIMAX 200 SL,,
PESTICIDE,CONFIDOR 100 SL,,
PESTICIDE,GAUCHO 70 WS,,
PESTICIDE,PREMISE 200 SC,,
PESTICIDE,PROVADO SUPRA 050 EC,,
PESTICIDE,ROVRAL 50 WP,,
PESTICIDE,ROVRAL AQUA FLO,,
PESTICIDE,MELODY DUO,,
PESTICIDE,ETROFOLAN 50 WP,,
PESTICIDE,TAMARON 600 SL,,
PESTICIDE,MESUROL 50 WP,,
PESTICIDE,SENCOR 70 WP,,
PESTICIDE,BAYLUSCIDE 250 EC,,
PESTICIDE,ULTIMO EC 200,,
PESTICIDE,ULTIMO EC 225,,
PESTICIDE,BAYLUSCIDE 50 WP,,
